zipcode,total_charitable_contb,agi,num_of_returns,net_investment_income_tax,net_cap_gains_less_loss,num_returns_net_cap_gains_less_loss,num_returns_rent_and_royalty,total_rent_and_royalty,ord_div_amount,num_returns_ord_dividens,state,total_tax_payments_amount,salaries_and_wages_amnt,num_salaries_and_wages,zip_region,agi_per_return
35004,4195,373800,5410,89,5385,590,160,124,2163,680,AL,43743,299076,4580,350,69.09426987060998
35005,1476,149625,3290,0,556,140,60,-75,401,200,AL,17623,123029,2800,350,45.47872340425532
35006,344,81364,1260,0,1185,100,40,113,160,100,AL,9369,60848,1000,350,64.57460317460317
35007,10066,859156,12540,383,17983,1510,320,1297,5485,1790,AL,96690,659206,10180,350,68.51323763955342
35010,7380,528992,8000,585,29759,910,310,2452,11577,920,AL,80883,332203,6650,350,66.124
35014,1835,98465,1620,22,3564,140,50,2,1216,140,AL,11890,71668,1360,350,60.78086419753087
35016,5087,487127,7590,96,8822,900,340,988,3240,920,AL,58916,356525,6100,350,64.18010540184453
35019,731,63772,1010,0,763,90,30,42,61,90,AL,8534,45065,820,350,63.14059405940594
35020,2261,284201,8650,0,1717,160,130,-187,1703,200,AL,41018,236856,7210,350,32.85560693641619
35022,15555,721850,10820,157,11989,1100,430,174,5020,1310,AL,86428,554300,8840,350,66.71441774491682
35023,5575,575399,10330,133,6576,670,280,223,2443,850,AL,66371,444037,8400,350,55.701742497579865
35031,1065,166536,3100,0,1807,250,100,660,456,240,AL,19016,128030,2550,350,53.72129032258064
35033,1201,119160,1530,96,2803,180,70,196,1341,200,AL,16651,85422,1240,350,77.88235294117646
35034,521,63816,1360,0,841,70,30,1,326,70,AL,8614,49494,1180,350,46.923529411764704
35035,398,38553,560,0,941,40,0,0,156,40,AL,4357,26343,440,350,68.84464285714286
35040,6718,575339,8990,180,10792,760,190,238,2828,810,AL,66829,473493,7850,350,63.99766407119021
35042,1615,132719,2200,37,1427,170,60,123,693,170,AL,15688,106120,1870,350,60.32681818181818
35043,12698,673021,6620,360,21225,1310,290,1128,6845,1410,AL,85997,500507,5510,350,101.66480362537764
35044,2656,158080,3140,15,1368,180,60,189,1044,220,AL,19497,119382,2650,350,50.34394904458599
35045,3161,361427,6040,227,10503,520,190,2336,2350,540,AL,44059,264428,5010,350,59.83890728476821
35046,2028,175081,2410,88,3728,260,100,1120,2512,290,AL,22064,121687,1920,350,72.64771784232366
35049,914,103294,1700,0,1364,170,50,203,505,150,AL,11879,79502,1390,350,60.76117647058823
35051,7459,313587,3620,248,17048,520,180,1496,4660,570,AL,42706,192444,2900,350,86.62624309392265
35053,1886,119208,1300,89,4931,270,90,113,1683,300,AL,16046,70546,910,350,91.69846153846154
35054,6119,188608,2110,308,10507,410,120,940,4211,450,AL,26364,112955,1620,350,89.38767772511848
35055,9387,621877,8720,677,31141,1250,410,2798,6930,1320,AL,79410,430775,7150,350,71.31616972477065
35057,4610,454851,5800,412,16252,730,270,2086,4169,730,AL,60776,311978,4790,350,78.42258620689655
35058,3922,333080,4670,355,14145,620,210,760,2563,640,AL,39311,233180,3850,350,71.32334047109208
35061,274,22620,550,0,0,0,20,-70,0,0,AL,2775,17458,450,350,41.127272727272725
35062,2443,230933,3350,24,1149,290,90,358,1098,300,AL,28297,177942,2790,350,68.93522388059702
35063,329,68391,1250,0,566,50,0,0,95,60,AL,7937,52979,1080,350,54.7128
35064,2199,153386,3870,0,399,120,110,-475,154,160,AL,20578,114816,3170,350,39.634625322997415
35068,2868,232127,4110,17,1632,300,100,110,954,320,AL,27342,187604,3420,350,56.47858880778589
35071,10300,603948,7820,361,14866,1090,320,1421,5730,1270,AL,71979,435102,6210,350,77.2312020460358
35072,1770,95052,1800,0,554,80,20,3,233,110,AL,12727,72820,1580,350,52.806666666666665
35073,0,47252,1010,0,-4,40,30,-50,78,40,AL,5570,34870,830,350,46.78415841584158
35077,2919,322309,5580,75,4738,480,180,754,1380,530,AL,37589,242868,4710,350,57.76146953405018
35078,2177,69853,1020,22,577,110,30,222,584,120,AL,8726,50040,840,350,68.48333333333333
35079,2014,261201,3850,65,3180,300,70,226,711,320,AL,28772,202587,3240,350,67.84441558441559
35080,12077,808105,9010,275,12565,1460,320,1316,6054,1680,AL,99495,638518,7650,350,89.68978912319645
35083,675,78722,1320,0,1850,130,50,200,231,140,AL,9326,57812,1090,350,59.63787878787879
35085,1268,209039,3610,29,3395,250,80,406,755,250,AL,24160,161019,2980,350,57.905540166204986
35087,0,48777,910,0,390,60,20,73,160,50,AL,5507,38451,730,350,53.6010989010989
35089,646,29820,740,0,-5,30,0,0,41,30,AL,3518,25300,650,350,40.2972972972973
35091,1678,132498,1510,7,765,140,30,-1,234,160,AL,15023,109581,1310,350,87.74701986754967
35094,8337,483232,6740,623,16160,930,250,1724,8511,1040,AL,63336,338876,5470,350,71.69614243323443
35096,5170,261706,4110,145,6598,290,110,1072,2571,350,AL,32373,200567,3600,350,63.67542579075426
35097,347,45699,740,0,594,60,0,0,118,60,AL,5004,35575,620,350,61.755405405405405
35098,0,35365,640,0,450,70,0,0,83,60,AL,4035,27081,510,350,55.2578125
35111,9609,595406,7960,231,13216,890,290,191,3494,1000,AL,69219,453138,6490,351,74.7997487437186
35114,4241,261146,3280,53,4349,440,120,204,1495,480,AL,31304,201013,2710,351,79.61768292682927
35115,3306,326187,6010,75,3845,550,190,740,3303,620,AL,37152,238291,4710,351,54.274043261231284
35116,2246,180679,2190,84,3812,270,80,224,1163,300,AL,22181,128548,1770,351,82.50182648401827
35117,3894,221099,2880,97,2801,340,110,229,1044,380,AL,25725,169254,2310,351,76.77048611111111
35118,429,71072,1300,0,15,90,40,-13,122,100,AL,8038,53924,1000,351,54.67076923076923
35120,5040,492734,7470,81,4428,550,140,678,1887,640,AL,57353,400703,6520,351,65.96171352074967
35121,4728,434754,6240,513,17378,690,240,783,6010,710,AL,57600,281357,4990,351,69.67211538461538
35124,24053,1268007,12300,2178,59798,2460,560,4549,22486,2840,AL,176133,796139,9620,351,103.09
35125,3493,271110,4630,50,4322,330,120,755,1926,360,AL,32647,202971,3920,351,58.55507559395248
35126,6875,563806,9660,94,6103,820,270,285,3028,910,AL,64326,445819,8090,351,58.36501035196687
35127,5101,264877,4610,20,2714,270,170,-397,926,350,AL,29479,205353,3870,351,57.45704989154013
35128,6454,400140,4660,456,20818,690,210,1584,5360,800,AL,53853,253491,3730,351,85.86695278969957
35130,324,68240,1210,0,109,70,30,41,102,80,AL,7866,52851,1000,351,56.396694214876035
35131,0,81989,1540,0,295,60,30,68,162,70,AL,9464,66605,1300,351,53.23961038961039
35133,857,106722,1680,0,1059,140,30,123,228,160,AL,11879,82423,1380,351,63.525
35135,558,63255,870,0,1213,110,40,69,320,110,AL,7900,43838,730,351,72.70689655172414
35136,0,42376,710,0,322,90,0,0,238,80,AL,5153,27933,530,351,59.68450704225352
35143,1143,108373,1410,53,3075,200,80,234,1822,230,AL,15296,66415,990,351,76.86028368794327
35146,7474,443269,5500,174,8682,760,170,917,3628,830,AL,54031,322156,4450,351,80.59436363636364
35147,2534,204600,2430,76,4993,370,60,24,3007,430,AL,26417,151537,2050,351,84.19753086419753
35148,655,59916,1060,0,455,70,30,140,343,80,AL,7533,43528,840,351,56.52452830188679
35150,4767,353386,6960,106,5090,520,180,563,3929,540,AL,44149,269836,6020,351,50.77385057471265
35151,1429,192602,3060,62,4829,310,100,102,986,320,AL,21611,142697,2530,351,62.941830065359476
35160,5711,482851,9520,329,12722,610,270,521,5981,690,AL,59890,351181,7940,351,50.71964285714286
35171,1017,92395,1440,0,452,90,40,80,452,130,AL,10541,75583,1260,351,64.16319444444444
35172,188,63759,1180,0,417,60,0,0,99,80,AL,6972,50362,970,351,54.03305084745763
35173,37657,1527784,14290,1289,50297,2950,660,3092,21968,3320,AL,207046,1078851,11570,351,106.91280615815255
35175,1932,166308,2280,128,2788,330,100,219,2304,380,AL,22086,116368,1750,351,72.9421052631579
35176,467,19830,360,0,49,30,0,0,49,20,AL,2351,15240,290,351,55.083333333333336
35178,2602,97865,1670,0,1403,120,40,282,685,160,AL,11495,68957,1370,351,58.60179640718563
35179,3275,273828,4130,139,7349,430,180,1281,1560,450,AL,35332,202012,3410,351,66.30217917675544
35180,4444,421995,5860,105,4984,560,170,961,2074,620,AL,47901,321398,4860,351,72.01279863481228
35183,0,18296,280,0,0,0,0,0,0,0,AL,2000,14123,240,351,65.34285714285714
35184,719,127472,2210,0,579,130,50,176,182,130,AL,14028,99214,1870,351,57.679638009049775
35186,3642,213295,2280,166,10036,390,90,712,2504,450,AL,30584,129580,1750,351,93.55043859649123
35188,459,79692,1200,0,730,60,30,-34,113,90,AL,8623,62992,1020,351,66.41
35203,4904,247181,1390,3977,17560,300,70,1039,14439,320,AL,54309,95387,1180,352,177.82805755395682
35204,639,97701,3190,0,62,60,30,-98,189,70,AL,15365,81872,2720,352,30.62727272727273
35205,9542,555539,7200,1875,39374,1250,270,1323,20859,1370,AL,90722,363223,6200,352,77.15819444444445
35206,1795,240075,6230,0,1462,260,80,33,1378,310,AL,32439,204094,5380,352,38.53531300160514
35207,779,93041,2930,0,-31,50,40,20,36,60,AL,14923,77677,2480,352,31.754607508532423
